articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
KS-1957-KTL,Биток SP-Sport KS-1957-KTL 57мм бордовый,53.38,'58.39,'-5.0,'% -9.39,'27.0,'89.78,
KS-1968MRN,Биток SP-Sport KS-1968MRN 68мм красный,95.77,'64.5,'31.26,'% 32.65,'49.0,'80.0,
KS-2798,Шары для бильярда NORVA KS-2798 57 мм разноцветный,940.43,'655.97,'284.45,'% 30.25,'532.95,'779.0,
KS-2799,Шары для бильярда NORVA KS-2799 57 мм разноцветный,940.43,'655.97,'284.45,'% 30.25,'532.95,'779.0,
KS-2800,Шары для бильярда NORVA KS-2800 57 мм разноцветный,940.43,'581.52,'358.91,'% 38.16,'532.95,'630.09,
KS-1951,Шары для бильярда Арамит ARAMITH POOL SET KS-1951 70 мм белый,2460.19,'2331.3,'128.88,'% 5.24,'1568.61,'3094.0,
KS-0004-45,"Кий для пула разборной NORVA KS-0004-45 145x1,2см цвета в ассортименте",477.28,'315.5,'161.77,'% 33.9,'288.0,'343.0,
KS-1801-45,"Кий для пула разборной NORVA KS-1801-45 145x1,2см цвета в ассортименте",568.34,'370.1,'198.24,'% 34.88,'343.0,'397.2,
KS-2793,"Кий для пула разборной NORVA KS-2793 145x1,3см цвета в ассортименте",533.79,'347.79,'185.99,'% 34.85,'323.0,'372.59,
KS-2795,"Кий для пула разборной NORVA KS-2795 145x1,3см цвета в ассортименте",1180.63,'715.05,'465.58,'% 39.43,'625.1,'805.0,
KS-2796,"Кий для пула разборной NORVA KS-2796 145x1,2см цвета в ассортименте",538.51,'350.55,'187.95,'% 34.9,'325.0,'376.1,
KS-3937-45,"Кий для пула разборной NORVA KS-3937-45 145x1,2см черный-бежевый",370.52,'261.5,'109.01,'% 29.42,'223.0,'300.0,
KS-0005-65,"Кий для русского бильярда разборной NORVA KS-0005-65 160x1,3см цвета в ассортименте",598.16,'389.64,'208.52,'% 34.86,'361.0,'418.28,
KS-1801-65,"Кий для русского бильярда разборной NORVA KS-1801-65 160x1,3см цвета в ассортименте",628.0,'399.88,'228.12,'% 36.32,'379.0,'420.76,
KS-2406-65,"Кий для русского бильярда разборной NORVA KS-2406-65 165x1,3см цвета в ассортименте",1142.96,'712.02,'430.94,'% 37.7,'645.05,'779.0,
KS-2792,"Кий для русского бильярда разборной NORVA KS-2792 160x1,3см цвета в ассортименте",400.35,'276.0,'124.35,'% 31.06,'242.0,'310.0,
KS-TC144,Мел для бильярда NORVA TRIANGLE KS-TC144 синий,10.99,'10.55,'0.43,'% 4.0,'4.0,'17.1,
KS-1120-12,Наклейка для кия MASTER KS-1120-12 синий,7.85,'9.03,'-1.17,'% -15.03,'5.26,'12.82,
KS-1120-13,Наклейка для кия MASTER KS-1120-13 синий,7.85,'9.03,'-1.17,'% -15.03,'5.26,'12.82,
KS-2639-13,Наконечник для кия с резьбой SP-Sport KS-2639-13,4.71,'3.0,'1.71,'% 36.31,'3.0,'3.0,
KS-3938-13,Насадка для кия KS-3938-13,4.71,'5.0,'-0.29,'% -6.16,'5.0,'5.0,
KS-400,Кейс для кия SP-Sport KS-400 черный,791.28,'633.0,'158.27,'% 20.0,'388.0,'878.0,
KS-371,Тубус для кия KS-371 черный,753.6,'549.5,'204.1,'% 27.08,'422.0,'677.0,
25-0021,Жетон-наклейка 25мм SP-Sport Бильярд 25-0021,1.56,'1.02,'0.54,'% 34.62,'1.0,'1.05,
C-4846-0021,"Медаль спортивная с лентой SP-Sport AIM Бильярд C-4846-0021 золото, серебро, бронза",34.54,'40.42,'-5.88,'% -17.02,'21.0,'59.85,
C-7017,"Медаль спортивная с лентой SP-Sport Бильярд C-7017 золото, серебро, бронза",34.54,'40.42,'-5.88,'% -17.02,'21.0,'59.85,
C-3195-C,Статуэтка наградная спортивная Бильярд Бильярдист C-3195-C,290.45,'225.0,'65.44,'% 22.53,'175.0,'275.0,
